iter	Passed	Remaining
0	0	12
1	0	12
2	0	11
3	0	11
4	0	11
5	0	11
6	0	10
7	0	10
8	1	10
9	1	10
10	1	9
11	1	9
12	1	9
13	1	9
14	1	9
15	1	9
16	1	9
17	1	8
18	2	8
19	2	8
20	2	8
21	2	8
22	2	8
23	2	8
24	2	8
25	2	7
26	2	7
27	2	7
28	3	7
29	3	7
30	3	7
31	3	7
32	3	7
33	3	6
34	3	6
35	3	6
36	3	6
37	3	6
38	4	6
39	4	6
40	4	6
41	4	5
42	4	5
43	4	5
44	4	5
45	4	5
46	4	5
47	4	5
48	4	5
49	5	5
50	5	4
51	5	4
52	5	4
53	5	4
54	5	4
55	5	4
56	5	4
57	5	4
58	5	4
59	6	4
60	6	3
61	6	3
62	6	3
63	6	3
64	6	3
65	6	3
66	6	3
67	6	3
68	6	3
69	7	3
70	7	2
71	7	2
72	7	2
73	7	2
74	7	2
75	7	2
76	7	2
77	7	2
78	7	2
79	7	1
80	8	1
81	8	1
82	8	1
83	8	1
84	8	1
85	8	1
86	8	1
87	8	1
88	8	1
89	9	1
90	9	0
91	9	0
92	9	0
93	9	0
94	9	0
95	9	0
96	9	0
97	9	0
98	9	0
99	10	0
